time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-06-17 12:35:51,60.8921963962817,68.6824838421799,0,Available with any HD 360 subscription,Available with any HD 360 subscription,108.26772,0.328084,0,0,0,16,5,0,108.26772,0,0,0,0,0,0,261.9, 15.8, -1.4,0,0,1024,1024,1024,1024,0,0,0,0,262.2,-89.9,99,,,,,,,0,32,108.26772,0,41,Motors_Started,
100,2022-06-17 12:35:52,60.8921964006829,68.6824838755223,0,,,108.26772,0.328084,0,0.0061316931096,0.0061316931096,16,5,0,108.26772,0,0,0.0061316931096,0,0,0,261.9, 15.8, -1.4,0,0,1024,1024,1024,1024,0,0,0,0,262.2,-89.9,99,,,,,,,0,32,108.26772,0,41,Motors_Started,
200,2022-06-17 12:35:52,60.8921963936123,68.6824838141001,0,,,108.26772,0.328084,0,0.0050779529184,0.0173341212896,16,5,0,108.26772,0,0,0.0061316931096,0,0,0,261.9, 15.8, -1.3,0,0,1024,1024,1024,1024,0,0,0,0,262.2,-89.9,99,,,,,,,0,32,108.26772,0,41,Motors_Started,
300,2022-06-17 12:35:52,60.8921963998199,68.6824838372126,0,,,108.26772,0.328084,0,0.0015632218348,0.0220199154028,16,5,0,108.26772,0,0,0.0061316931096,0,0,0,261.9, 15.8, -1.4,0,0,1024,1024,1024,1024,0,0,0,0,262.2,-89.9,99,,,,,,,0,32,108.26772,0,41,Motors_Started,
400,2022-06-17 12:35:52,60.8921965429365,68.6824837871264,0,,,108.26772,0.328084,0,0.054391734024,0.074987207124,16,5,0,108.26772,0,0,0.054391734024,0,0,0,261.9, 15.8, -1.3,0,0,1024,1024,1024,1024,0,0,0,0,262.2,-89.9,99,,,,,,,0,32,108.26772,0,41,Motors_Started,
500,2022-06-17 12:35:52,60.892196562876,68.6824838031798,0,,,108.26772,0.328084,0,0.06117454264,0.0828001995,16,5,0,108.26772,0,0,0.06117454264,0,0,0,261.9, 15.8, -1.4,0,0,1024,1024,1024,1024,0,0,0,0,262.2,-89.9,99,,,,,,,0,32,108.26772,0,41,Motors_Started,
600,2022-06-17 12:35:52,60.8921963847623,68.6824839140971,0,,,108.26772,0.328084,0,0.0134381894064,0.150701120308,16,5,0,108.26772,0,0,0.06117454264,0,0,0,261.9, 15.8, -1.3,0,0,1024,1024,1024,1024,0,0,0,0,262.2,-89.9,99,,,,,,,0,32,108.26772,0,41,Motors_Started,
700,2022-06-17 12:35:52,60.8921963866653,68.6824839370468,0,,,108.26772,0.328084,0,0.0171988850648,0.154833010204,16,5,0,108.26772,0,0,0.06117454264,0,0,0,262, 15.7, -1.3,0,0,1024,1024,1024,1024,0,0,0,0,262.2,-89.9,99,,,,,,,0,32,108.26772,0,41,Motors_Started,
800,2022-06-17 12:35:52,60.8921963840947,68.682483883697,0,,,108.26772,0.328084,0,0.0086062010628,0.164348102372,16,5,0,108.26772,0,0,0.06117454264,0,0,0,261.9, 15.7, -1.4,0,0,1024,1024,1024,1024,0,0,0,0,262.2,-89.9,99,,,,,,,0,32,108.26772,0,41,Motors_Started,
900,2022-06-17 12:35:52,60.8921963870151,68.6824838976411,0,,,108.26772,0.328084,0,0.010407808732,0.167042656264,16,5,0,108.26772,0,0,0.06117454264,0,0,0,261.9, 15.7, -1.4,0,0,1024,1024,1024,1024,0,0,0,0,262.2,-89.9,99,,,,,,,0,32,108.26772,0,41,Motors_Started,"Setting new Return-To-Home altitude to 160m (525 ft). Setting new Maximum Flight Altitude to 500m (1640 ft)"
1000,2022-06-17 12:35:52,60.8921962338365,68.682483860096,0,,,108.26772,0.328084,0,0.059353348356,0.223325466464,16,5,0,108.26772,0,0,0.06117454264,0,0,0,261.9, 15.7, -1.4,0,0,1024,1024,1024,1024,0,0,0,0,262.2,-89.9,99,,,,,,,0,32,108.26772,0,41,Motors_Started,
1100,2022-06-17 12:35:53,60.8921962205324,68.6824838685201,0,,,108.26772,0.328084,0,0.064292324892,0.228404534868,16,5,0,108.26772,0,0,0.064292324892,0,0,0,261.8, 15.7, -1.4,0,0,1024,1024,1024,1024,0,0,0,0,262.2,-89.9,99,,,,,,,0,32,108.26772,0,41,Motors_Started,
1200,2022-06-17 12:35:53,60.8921962381357,68.6824838468186,0,,,108.26772,0.328084,0,0.057705382424,0.235893380252,16,5,0,108.26772,0,0,0.064292324892,0,0,0,261.9, 15.8, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,262.2,-89.9,99,,,,,,,0,32,108.26772,0,11,AutoTakeoff,
1300,2022-06-17 12:35:53,60.8921962265005,68.6824838484469,0,,,108.26772,0.328084,0,0.061954398308,0.240148301648,16,5,0,108.26772,0,0,0.064292324892,0,0,0,261.8, 15.7, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,262.2,-89.9,99,,,,,,,0,32,108.26772,0,11,AutoTakeoff,
1400,2022-06-17 12:35:53,60.8921960965729,68.6824839763623,0,,,108.26772,0.328084,0,0.111911748988,0.2927083427,16,5,0,108.26772,0,0,0.111911748988,0,0,0,261.8, 15.7, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,262.2,-89.9,99,,,,,,,0,32,108.26772,0,11,AutoTakeoff,
1500,2022-06-17 12:35:53,60.8921960724099,68.6824839848235,0,,,108.26772,0.328084,0,0.120846132476,0.301651256372,16,5,0,108.26772,0,0,0.120846132476,0,0,0,261.8, 15.6, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,262.2,-89.9,99,,,,,,,0,32,108.26772,0,11,AutoTakeoff,
1600,2022-06-17 12:35:53,60.8921961077001,68.6824839472269,0,,,108.26772,0.328084,0,0.106926840692,0.31615322534,16,5,0,108.26772,0,0,0.120846132476,0,0,0,262, 15.6, -1.4,0,0,1024,1024,1024,1024,0,0,0,0,262.2,-89.9,99,,,,,,,0,32,108.26772,0,11,AutoTakeoff,
1700,2022-06-17 12:35:53,60.8921960866608,68.6824839494709,0,,,108.26772,0.328084,0,0.1145587307,0.323839577292,16,5,0,108.26772,0,0,0.120846132476,0,0,0,262.5, 15.6, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,262.2,-89.9,99,,,,,,,0,32,108.26772,0,11,AutoTakeoff,
1800,2022-06-17 12:35:53,60.8921961133787,68.6824841060746,0,,,108.26772,0.328084,0,0.11334646032,0.35329397456,16,5,0,108.26772,0,0,0.120846132476,0,0,0,264, 15.6, -1.3,0,0,1024,1024,1024,1024,0,0,0,0,262.2,-89.9,99,,,,,,,0,32,108.26772,0,11,AutoTakeoff,
1900,2022-06-17 12:35:53,60.8921960822568,68.6824842243368,0,,,108.26772,0.328084,0,0.13314304888,0.37715880472,16,5,0,108.26772,0,0,0.13314304888,0,0,0,265.5, 14.6, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,262.2,-89.9,99,,,,,,,0,32,108.26772,0,11,AutoTakeoff,
2000,2022-06-17 12:35:53,60.8921960823132,68.6824844674089,0,,,108.26772,0.328084,0,0.159485897492,0.42029856988,16,5,0,108.26772,0,0,0.159485897492,0,0.223694,0,266.5, 10.6, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,262.3,-89.9,99,,,,,,,0,32,108.26772,0,11,AutoTakeoff,
2100,2022-06-17 12:35:54,60.8921960176167,68.6824849147669,0,,,108.26772,0.328084,0.0447388,0.23521490254,0.5031332182,16,5,0,108.26772,0,0.0447388,0.23521490254,0,0.447388,0,266.6, 3.7, -1.4,0,0,1024,1024,1024,1024,0,0,0,0,262.4,-89.9,99,,,,,,,0,32,108.26772,0,11,AutoTakeoff,
2200,2022-06-17 12:35:54,60.8921959618275,68.682485479545,0,,,108.26772,0.328084,0.07158208,0.33102363264,0.60541668604,16,5,0,108.26772,0,0.07158208,0.33102363264,-0.223694,0.671082,-0.223694,266.2, -1.9, -2,0,0,1024,1024,1024,1024,0,0,0,0,262.6,-89.9,99,,,,,,,0,32,108.26772,0,11,AutoTakeoff,
2300,2022-06-17 12:35:54,60.8921958217612,68.6824860014186,0,,,108.26772,0.328084,0.04921268,0.43680775676,0.71120081016,16,5,0,108.26772,0,0.07158208,0.43680775676,-0.223694,0.447388,-0.671082,265.9, -3, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,262.7,-89.9,99,,,,,,,0,32,108.26772,0,11,AutoTakeoff,
2400,2022-06-17 12:35:54,60.8921954432207,68.6824862642556,0,,,108.26772,0.656168,0.06263432,0.55290684184,0.85697837388,15,5,0,108.26772,0,0.07158208,0.55290684184,-0.447388,0.447388,-0.894776,266, -2.2, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,262.8,-89.9,99,,,,,,,0,32,108.26772,0,11,AutoTakeoff,
2500,2022-06-17 12:35:54,60.8921952343073,68.6824866147785,0.328084,,,108.595804,0.656168,0.06263432,0.649524299,0.9553642038,15,5,0,108.595804,0.328084,0.07158208,0.649524299,-0.447388,0.447388,-1.11847,266.3, -0.8, 2.3,0,0,1024,1024,1024,1024,0,0,0,0,262.9,-89.9,99,,,,,,,0,32,108.595804,0.328084,11,AutoTakeoff,
2600,2022-06-17 12:35:54,60.8921946390705,68.6824868184884,0.328084,,,108.595804,0.656168,0.04921268,0.83070540716,1.175524972,16,5,0,108.595804,0.328084,0.07158208,0.83070540716,-0.223694,0.447388,-1.11847,266.4, -0.3, 1.9,0,0,1024,1024,1024,1024,0,0,0,0,263,-89.9,99,,,,,,,0,32,108.595804,0.328084,11,AutoTakeoff,
2700,2022-06-17 12:35:54,60.8921944051742,68.6824870914919,0.656168,,,108.923888,0.984252,0.03131716,0.92753283808,1.27365817724,16,5,0,108.923888,0.656168,0.07158208,0.92753283808,-0.223694,0.223694,-1.11847,266.4, -1, 1.9,0,0,1024,1024,1024,1024,0,0,0,0,263.2,-89.9,99,,,,,,,0,32,108.923888,0.656168,11,AutoTakeoff,
2800,2022-06-17 12:35:54,60.892194092475,68.6824871339879,0.984252,,,109.251972,0.984252,0.03131716,1.02364504588,1.38799545124,15,5,0,109.251972,0.984252,0.07158208,1.02364504588,-0.223694,0.223694,-1.11847,266.2, -1.5, 2.1,0,0,1024,1024,1024,1024,0,0,0,0,263.3,-89.9,99,,,,,,,0,32,109.251972,0.984252,11,AutoTakeoff,
2900,2022-06-17 12:35:54,60.8921938471954,68.6824873207434,0.984252,,,109.251972,1.312336,0.03131716,1.11629924832,1.48342852516,15,5,0,109.251972,0.984252,0.07158208,1.11629924832,-0.223694,0.223694,-1.11847,266.1, -1.6, 2.2,0,0,1024,1024,1024,1024,0,0,0,0,263.3,-89.9,98,,,,,,,0,32,109.251972,0.984252,11,AutoTakeoff,
3000,2022-06-17 12:35:54,60.8921934354923,68.6824872236973,1.312336,,,109.580056,1.312336,0.03131716,1.23576447524,1.63461947488,15,5,0,109.580056,1.312336,0.07158208,1.23576447524,-0.223694,0.223694,-1.11847,266.1, -1.7, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,263.4,-89.9,98,,,,,,,0,32,109.580056,1.312336,11,AutoTakeoff,
3100,2022-06-17 12:35:55,60.8921931711628,68.6824872961469,1.312336,,,109.580056,1.64042,0.0223694,1.32679138104,1.73191606592,15,5,0,109.580056,1.312336,0.07158208,1.32679138104,-0.223694,0,-1.11847,266.2, -1.7, 2.8,0,0,1024,1024,1024,1024,0,0,0,0,263.5,-89.9,98,,,,,,,0,32,109.580056,1.312336,11,AutoTakeoff,
3200,2022-06-17 12:35:55,60.8921929315942,68.6824867280561,1.64042,,,109.90814,1.64042,0.0223694,1.36391408564,1.8653543904,15,5,0,109.90814,1.64042,0.07158208,1.36391408564,-0.223694,0,-0.894776,266.1, -1, 3.3,0,0,1024,1024,1024,1024,0,0,0,0,263.6,-89.9,98,,,,,,,0,32,109.90814,1.64042,11,AutoTakeoff,
3300,2022-06-17 12:35:55,60.8921926807011,68.6824866690075,1.64042,,,109.90814,1.968504,0.0223694,1.4454888914,1.95749022012,15,5,0,109.90814,1.64042,0.07158208,1.4454888914,-0.223694,0,-0.894776,266.3, -0.6, 3.6,0,0,1024,1024,1024,1024,0,0,0,0,263.6,-89.9,98,,,,,,,0,32,109.90814,1.64042,11,AutoTakeoff,
